1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.20281,0.6535,-0.06407,0.83333,0.20281,0.676,0.054945,0.71429,0.20281,0,-0.057471,0.83333,4.20E-32,0.34654,0.0050269,0,1.38E-31,4.45E-32,0,-0.062523,0,0,0.58769,0.61991,0.50846,0.48686,1.47E-30,-0.70807,0.019485,0,0.34538,0.58769,-0.042477,0.43769,0.12552,0.69444,-0.071587,0.81687,0.16901,0.004105,-0.052266,-0.018837,0.42706,0.34692,0.041133,0.124,0.35211,0.0020177,0.33268,0.016097,0.48225,0.0054726,0.74077,0.028565,2.06E-05,0.0042404,0.00047012,0.49879,0.085465,0.0016919,v
0.94906,0,0.073291,0.68056,1,0,0.087912,1,0.50335,0,-0.045977,0,0.072567,0,0.0069525,1,0,-0.0047446,0.73759,0,0,-0.035098,0.81794,0.81359,0.80781,0.014127,-0.02024,0,0.0052353,-0.27457,0.66903,0.66799,0.067627,0,0.81749,0.46316,0.066876,0,0.64589,0.0053716,0,0.10083,0,0,0.90071,0.44883,0.82406,0.004488,0,0.71783,0.83523,0.0079962,0,0.82616,2.91E-05,0,0.012851,0,0,0.93003,v
0.55617,0,0.10143,0.097222,1,0,0.12088,1,0.20281,0,0.011494,0,0.77092,0,0.0092111,0.31429,0,-0.064811,0.91808,0,0,-0.033207,0.81996,0.81359,0.81881,0.0042694,0.13825,0,-0.00033075,0.040192,0.67233,0.095662,0.093824,0,0.48024,0.0094522,0.013222,0,0.054072,0.010288,0,0.081778,0,0,0.30932,0.45024,0.026095,0.0089709,0,0.32242,0.0040916,0.00061046,0,0.015239,0.00011444,0,0.012174,0,0,0.20524,v
0.20851,0,0.019555,0,0.42443,0,0.12088,0,0.20281,0,-0.12644,0,0.0055129,0,0.048772,0,0,0.0060096,0,0,0,0,0.81333,0.80838,0.81189,0.0048724,0.0043712,0,0.019589,0,0.6615,0,0.017942,0,0.17859,0,0,0,0,0.00038239,0,0.0059108,0,0,0.043478,0.43539,0,0.012828,0,0.030369,0,0,0,0,0.0003535,0,0.0016092,0,0,0.0017156,v
0.20281,0,-0.076948,0,0.20281,0,0.010989,0,0.20281,0,-0.12644,0,4.20E-32,0,0.012639,0,0,-4.89E-32,0,0,0,0,0.80643,0.80149,0.80483,0.0051086,-1.35E-30,0,0.0021808,0,0.65033,0,-0.070002,0,0.17224,0,0,0,0,0.0059209,0,-0.022623,0,0,0.041133,0.42083,0,0.0056679,0,0.029655,0,0,0,0,5.54E-05,0,0.00071682,0,0,0.0016919,v
0.20281,0,-0.10366,0.70139,0.20281,0,-0.021978,0.71429,0.20281,0,-0.10345,0,4.20E-32,0,0.0015496,0.27974,0,7.78E-33,2.33E-32,0,0,-0.014832,0.67067,0.67446,0.66383,0.01847,5.17E-31,0,-0.0028334,0.15201,0.4498,0.56448,-0.078425,0,0.14324,0.49195,-0.09748,0,0.14225,0.010745,0,-0.030476,0,0,0.041133,0.20115,0.4196,0.0044358,0,0.020503,0.42643,0.0088113,0,0.026724,6.05E-05,0,0.00081142,0,0,0.0016919,v
0.20281,0.18983,-0.09539,0.28472,0.20281,0.381,-0.054945,0.71429,0.20281,0,-0.057471,0,4.20E-32,0.095889,0,0.47216,-6.21E-32,0,0,0,-0.56184,0,0.65563,0.66061,0.62859,0.042807,-1.29E-30,-0.12112,0,0.31566,0.42985,0.22401,-0.070552,0.14184,0.14003,0.081067,-0.036415,0.081075,0.057745,0.0090992,-0.022604,-0.028045,0.036037,0.10078,0.041133,0.18591,0.11736,0.00364,0.045208,0.019711,0.057882,0.0021963,0.036087,0.0077811,4.37E-05,0.00067811,0.00069262,0.0089045,0.0095129,0.0016919,v
0.26198,0,-0.22178,0.83333,0.44356,0,-0.10989,0.71429,0.20281,0,-0.16092,0.83333,0.05301,0,0.0015067,0,0,-0.012294,0,0,0,0,0.51361,0.5104,0.5095,0.0045426,0.02744,0,-0.00031733,0,0.2638,0.51361,-0.1285,0,0.1417,0.69444,-0.2478,0,0.21832,0.049186,0,-0.084228,0,0,0.068636,0.069436,0.26351,0.011116,0,0.019091,0.48225,0.040292,0,0.045277,0.0010987,0,0.0055663,0,0,0.0044291,v
0.20281,0.76814,-0.026868,0,0.20281,0.555,0.10989,0,0.20281,0.59459,-0.10345,0,4.20E-32,0.012293,0.053546,0,6.37E-31,-1.78E-32,0,-0.065173,0,0,0.62499,0.6851,0.56424,0.49604,-1.13E-30,0.10444,-0.18799,0,0.39061,0,-0.018943,0.54712,0.13349,0,0,0,0,0.00072189,-0.025763,-0.0078994,0.59004,0.40778,0.041133,0.15242,0,0.0079773,0.29974,0.017847,0,0,0,0,0.00040534,0.012087,0.0016722,0.2983,0.069603,0.0016919,v
0.20281,0.54239,0.14261,0.15833,0.20281,0.492,0.16484,0.28571,0.20281,0,-0.08046,0,4.20E-32,0.10062,0.035467,0.083755,-1.45E-31,-4.00E-32,-4.66E-32,-0.12246,-0.27718,0.13757,0.55581,0.61228,0.486,0.51094,3.20E-31,0.37804,-0.13839,-0.63549,0.30892,0.1056,0.089415,0.34356,0.11871,0.025069,0.030274,0.12882,0.032112,0.020337,0.096554,0.041927,0.29419,0.28794,0.041133,0.097054,0.023249,0.010445,0.16107,0.014241,0.0034427,0.0025488,0.031723,0.0021277,0.00071827,0.013523,0.0027491,0.13761,0.046838,0.0016919,v
